scenario_id,defence,assurance,pollinator_service,floral_damage_pressure,relief_minus_joint_cost_ratio_K,boundary_type,lower_boundary_c_D,upper_boundary_c_D,classification_at_interval_low,classification_at_interval_high,interval_verdict
baseline,0.8,0.0,0.5,0.5,0.5208333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.0,0.5,0.8,0.9333333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.0,0.8,0.2,0.06770833333,two_sided_window,0.07170597249,5.495622307,substitutable,substitutable,settled_substitutable
baseline,0.8,0.0,0.8,0.5,0.3255208333,two_sided_window,0.4766222618,2.594795798,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.8,0.0,0.8,0.8,0.5833333333,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.5,0.2,0.2,0.2850877193,two_sided_window,0.3892359302,2.899272945,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.8,0.5,0.2,0.5,1.370614035,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.5,0.2,0.8,2.456140351,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.5,0.5,0.2,0.1140350877,two_sided_window,0.1261436179,4.629667743,substitutable,substitutable,settled_substitutable
baseline,0.8,0.5,0.5,0.5,0.548245614,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.5,0.5,0.8,0.9824561404,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
baseline,0.8,0.5,0.8,0.2,0.07127192982,two_sided_window,0.07572292049,5.412441183,substitutable,substitutable,settled_substitutable
baseline,0.8,0.5,0.8,0.5,0.3426535088,two_sided_window,0.519014089,2.468110498,complementary,substitutable,unsettled_interval_spans_boundary
baseline,0.8,0.5,0.8,0.8,0.6140350877,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.2,0.2,1.075,two_sided_window,1.431295066,12.10753776,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.2,0.5,2.875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.2,0.8,4.675,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.5,0.2,0.43,two_sided_window,0.4726291478,18.92128873,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.5,0.5,1.15,two_sided_window,1.576165601,11.52285069,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.5,0.8,1.87,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.8,0.2,0.26875,two_sided_window,0.2844844122,22.03245043,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.8,0.5,0.71875,two_sided_window,0.8523359762,15.28584443,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.0,0.8,0.8,1.16875,two_sided_window,1.614045837,11.37930993,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.2,0.2,1.131578947,two_sided_window,1.539625168,11.66481579,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.2,0.5,3.026315789,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.2,0.8,4.921052632,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.5,0.2,0.4526315789,two_sided_window,0.5002614118,18.57153369,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.5,0.5,1.210526316,two_sided_window,1.701100351,11.06255268,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.5,0.8,1.968421053,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.8,0.2,0.2828947368,two_sided_window,0.3004127696,21.69995235,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.8,0.5,0.7565789474,two_sided_window,0.9070713983,14.90232977,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.2,0.5,0.8,0.8,1.230263158,two_sided_window,1.743589705,10.91416861,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.2,0.2,1.075,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.2,0.5,2.875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.2,0.8,4.675,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.5,0.2,0.43,two_sided_window,0.5725180262,4.843015105,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.5,0.5,1.15,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.5,0.8,1.87,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
