source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q5,https://openalex.org/W2168043327,10.1111/j.1095-8339.2005.00388.x,"Diversity, flower visitation frequency and generalism of pollinators in temperate rain forests of Chiloé Island, Chile",2005,Cecilia Smith‐Ramírez; Paula Martínez; Martín Andrés Nuñez; Christian Raúl González; J. J. Armesto,Botanical Journal of the Linnean Society,https://doi.org/10.1111/j.1095-8339.2005.00388.x,2026-09-25
OpenAlex,Q5,https://openalex.org/W2898664981,10.1002/ajb2.1182,Consequences of multiple flower–insect interactions for subsequent plant–insect interactions and plant reproduction,2018,Nicole L. Soper Gorden; Lynn S. Adler,American Journal of Botany,https://doi.org/10.1002/ajb2.1182,2026-09-25
OpenAlex,Q5,https://openalex.org/W4392885445,10.1093/biolinnean/blae013,Complex floral morphology and scent chemistry mediate hawkmoth pollination of an African orchid in the diverse Habenaria clade,2024,Steven D. Johnson; Marco G. Balducci; Adam Shuttleworth,Biological Journal of the Linnean Society,https://doi.org/10.1093/biolinnean/blae013,2026-09-25
OpenAlex,Q5,https://openalex.org/W621648762,10.1007/s11829-015-9379-7,The ecological role of extremely long-proboscid Neotropical butterflies (Lepidoptera: Hesperiidae) in plant-pollinator networks,2015,Julia Bauder; ANDREW DAVID WARREN; Harald Wolfgang Krenn,Arthropod-Plant Interactions,https://doi.org/10.1007/s11829-015-9379-7,2026-09-25
OpenAlex,Q5,https://openalex.org/W4291000381,10.3390/biology11081203,A Decrease in the Staminode-Mediated Visitor Screening Mechanism in Response to Nectar Robbers Positively Affects Reproduction in Delphinium caeruleum Jacq. ex Camb. (Ranunculaceae),2022,Qinzheng Hou; Taihong Wang; Guang Ming Yang; Wenjuan Shao; Wenrui Min; Yu-Qin Zhong,Biology,https://doi.org/10.3390/biology11081203,2026-09-25
OpenAlex,Q5,https://openalex.org/W3207676228,10.26786/1920-7603(2021)620,Catching the thief: Nectar robbing behaviour by bumblebees on naturalised Fuchsia magellanica in Ireland,2021,Dara Anne Stanley; Emmeline Cosnett,Journal of Pollination Ecology,https://doi.org/10.26786/1920-7603(2021)620,2026-09-25
OpenAlex,Q5,https://openalex.org/W2109615524,10.1111/boj.12236,The influence of nectar production and floral visitors on the female reproductive success ofInga(Fabaceae): a field experiment,2015,Oswaldo Cruz‐Neto; Isabel Cristina Machado; Leonardo Galetto; Ariadna Valentina Lopes,Botanical Journal of the Linnean Society,https://doi.org/10.1111/boj.12236,2026-09-25
OpenAlex,Q5,https://openalex.org/W3200624213,10.3390/biology10090903,Corolla Abscission Triggered by Nectar Robbers Positively Affects Reproduction by Enhancing Self-Pollination in Symphytum officinale (Boraginaceae),2021,Qinzheng Hou; Nurbiye Ehmet; Dawei Chen; Taihong Wang; Yifan Xu; Jing Ma; Kun Sun,Biology,https://doi.org/10.3390/biology10090903,2026-09-25
OpenAlex,Q5,https://openalex.org/W4307290976,10.11609/jott.8023.14.10.22001-22007,"Nectar robbing by bees on the flowers of Volkameria inermis (Lamiaceae) in Coringa Wildlife Sanctuary, Andhra Pradesh, India",2022,P. Suvarna Raju; A. J. S. Raju; Chintapalli V. V. S. Bhaskara Reddy; G. J. Nagaraju,Journal of Threatened Taxa,https://doi.org/10.11609/jott.8023.14.10.22001-22007,2026-09-25
OpenAlex,Q5,https://openalex.org/W2898342007,10.1002/ecs2.2459,Legitimate visitors and nectar robbers of Aquilegia formosa have different effects on nectar bacterial communities,2018,Ash T. Zemenick; Jay A. Rosenheim; Rachel Lee Vannette,Ecosphere,https://doi.org/10.1002/ecs2.2459,2026-09-25
OpenAlex,Q5,https://openalex.org/W3089188902,10.3389/fpls.2020.558684,Flower Conspicuousness to Bees Across Pollination Systems: A Generalized Test of the Bee-Avoidance Hypothesis,2020,Gabriel Coimbra; Carina Araujo; Pedro Joaquim Bergamo; Leandro Freitas; Miguel Angel Rodríguez-Gironés,Frontiers in Plant Science,https://doi.org/10.3389/fpls.2020.558684,2026-09-25
OpenAlex,Q5,https://openalex.org/W4390665973,10.1111/btp.13293,Pollination of Chamaepentas nobilis (Rubiaceae) by long‐proboscid hawkmoths in south‐central Africa: Trait mismatching and floral scent chemistry,2024,Steven D. Johnson,Biotropica,https://doi.org/10.1111/btp.13293,2026-09-25
OpenAlex,Q5,https://openalex.org/W3135245034,10.1111/jeb.13781,"Selfing rates vary with floral display, pollinator visitation and plant density in natural populations of Mimulus ringens",2021,Dorothy A Christopher; Jeffrey D. Karron; Wendy R. Semski; Patrick A. Smallwood; Dorset W. Trapnell; Randall J. Mitchell,Journal of Evolutionary Biology,https://doi.org/10.1111/jeb.13781,2026-09-25
